Run,Dimension,Size,Time(s)
1,2d,600,17.73208785057068
2,2d,600,16.92254877090454
3,2d,600,16.541255235671997
4,2d,600,16.729952812194824
5,2d,600,16.506542444229126
6,2d,600,16.84539818763733
7,2d,600,16.572606325149536
8,2d,600,16.819811582565308
9,2d,600,16.824763774871826
10,2d,600,16.578551292419434

1,2d,1000,89.78051733970642
2,2d,1000,92.32281374931335
3,2d,1000,89.48532176017761
4,2d,1000,90.48905110359192
5,2d,1000,89.34646582603455
6,2d,1000,92.00588083267212
7,2d,1000,89.95925307273865
8,2d,1000,89.71123886108398
9,2d,1000,89.37990069389343
10,2d,1000,89.23226141929626

1,2d,1400,249.45771670341492
2,2d,1400,252.67646265029907
3,2d,1400,257.991247177124
4,2d,1400,252.80735445022583
5,2d,1400,251.6835401058197
6,2d,1400,253.90867161750793
7,2d,1400,255.2528908252716
8,2d,1400,260.2505919933319
9,2d,1400,251.71440267562866
10,2d,1400,251.19622707366943

1,2d,1800,540.1522407531738
2,2d,1800,549.9423112869263
